metabolite_id	metabolite_name
gsn_e	Guanosine (gsn_e)
gthox_e	Oxidized glutathione (gthox_e)
gua_e	Guanine (gua_e)
h2_e	Hydrogen (h2_e)
h2o2_e	Hydrogen peroxide (h2o2_e)
hacolipa_e	Hepta-acylated core oligosaccharide lipid A (E. coli) (hacolipa_e)
halipa_e	Hepta-acylated KDO(2)-lipid (A) (halipa_e)
hdca_e	Hexadecanoate (n-C16:0) (hdca_e)
idon__L_e	L-Idonate (idon__L_e)
indole_e	Indole (indole_e)
inost_e	Myo-Inositol (inost_e)
ins_e	Inosine (ins_e)
isetac_e	Isethionic acid (isetac_e)
k_e	Potassium (k_e)
lac__L_e	L-Lactate (lac__L_e)
lipoate_e	Lipoate (lipoate_e)
lyx__L_e	L-Lyxose (lyx__L_e)
malthx_e	Maltohexaose (malthx_e)
malttr_e	Maltotriose C18H32O16 (malttr_e)
maltttr_e	Maltotetraose (maltttr_e)
melib_e	Melibiose C12H22O11 (melib_e)
met__L_e	L-Methionine (met__L_e)
metsox_S__L_e	L-Methionine Sulfoxide (metsox_S__L_e)
mnl_e	D-Mannitol (mnl_e)
mso3_e	Methanesulfonate (mso3_e)
n2o_e	Nitrous oxide (n2o_e)
na1_e	Sodium (na1_e)
nac_e	Nicotinate (nac_e)
no_e	Nitric oxide (no_e)
no2_e	Nitrite (no2_e)
no3_e	Nitrate (no3_e)
o16a4colipa_e	(O16 antigen)x4 core oligosaccharide lipid A (o16a4colipa_e)
ocdcea_e	Octadecenoate (n-C18:1) (ocdcea_e)
orot_e	Orotate C5H3N2O4 (orot_e)
pacald_e	Phenylacetaldehyde (pacald_e)
pheme_e	Protoheme C34H30FeN4O4 (pheme_e)
pnto__R_e	(R)-Pantothenate (pnto__R_e)
ppa_e	Propionate (n-C3:0) (ppa_e)
ppal_e	Propanal (ppal_e)
pppn_e	Phenylpropanoate (pppn_e)
progly_e	L-Prolinylglycine (progly_e)
pser__L_e	O-Phospho-L-serine (pser__L_e)
ptrc_e	Putrescine (ptrc_e)
pydam_e	Pyridoxamine (pydam_e)
pydx_e	Pyridoxal (pydx_e)
pyr_e	Pyruvate (pyr_e)
rmn_e	L-Rhamnose (rmn_e)
sbt__D_e	D-Sorbitol (sbt__D_e)
sel_e	Selenate (sel_e)
ser__D_e	D-Serine (ser__D_e)
skm_e	Shikimate (skm_e)
so3_e	Sulfite (so3_e)
so4_e	Sulfate (so4_e)
spmd_e	Spermidine (spmd_e)
sulfac_e	Sulfoacetate (sulfac_e)
taur_e	Taurine C2H7NO3S (taur_e)
thm_e	Thiamin (thm_e)
thr__L_e	L-Threonine (thr__L_e)
tmao_e	Trimethylamine N-oxide (tmao_e)
ttdca_e	Tetradecanoate (n-C14:0) (ttdca_e)
ttrcyc_e	Tetracycline (ttrcyc_e)
tym_e	Tyramine (tym_e)
tyr__L_e	L-Tyrosine (tyr__L_e)
tyrp_e	Phosphotyrosine (tyrp_e)
udpacgal_e	UDP-N-acetyl-D-galactosamine (udpacgal_e)
udpg_e	UDPglucose (udpg_e)
urea_e	Urea CH4N2O (urea_e)
uri_e	Uridine (uri_e)
val__L_e	L-Valine (val__L_e)
xan_e	Xanthine (xan_e)
xmp_e	Xanthosine 5'-phosphate (xmp_e)
xtsn_e	Xanthosine (xtsn_e)
xyl__D_e	D-Xylose (xyl__D_e)
zn2_e	Zinc (zn2_e)
12dgr120_p	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0) (12dgr120_p)
12dgr120_c	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0) (12dgr120_c)
12dgr140_p	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0) (12dgr140_p)
12dgr140_c	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0) (12dgr140_c)
12dgr161_p	1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1) (12dgr161_p)
12dgr161_c	1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1) (12dgr161_c)
12dgr180_p	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0) (12dgr180_p)
12dgr180_c	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0) (12dgr180_c)
12dgr181_p	1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1) (12dgr181_p)
12dgr181_c	1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1) (12dgr181_c)
12ppd__S_p	(S)-Propane-1,2-diol (12ppd__S_p)
14glucan_p	1,4-alpha-D-glucan (14glucan_p)
14glucan_c	1,4-alpha-D-glucan (14glucan_c)
23ccmp_e	2',3'-Cyclic CMP (23ccmp_e)
23ccmp_p	2',3'-Cyclic CMP (23ccmp_p)
23cgmp_e	2',3'-Cyclic GMP (23cgmp_e)
23cgmp_p	2',3'-Cyclic GMP (23cgmp_p)
23cump_p	2',3'-Cyclic UMP (23cump_p)
h2o_p	H2O H2O (h2o_p)
3ump_p	3  UMP C9H11N2O9P (3ump_p)
h_p	H+ (h_p)
3gmp_p	Guanosine 3  phosphate C10H12N5O8P (3gmp_p)
2ddecg3p_p	2-dodecanoyl-sn-glycerol 3-phosphate (2ddecg3p_p)
2ddecg3p_c	2-dodecanoyl-sn-glycerol 3-phosphate (2ddecg3p_c)
2tdecg3p_p	2-tetradecanoyl-sn-glycerol 3-phosphate (2tdecg3p_p)
2tdecg3p_c	2-tetradecanoyl-sn-glycerol 3-phosphate (2tdecg3p_c)
2odecg3p_p	2-octadecanoyl-sn-glycerol 3-phosphate (2odecg3p_p)
2odecg3p_c	2-octadecanoyl-sn-glycerol 3-phosphate (2odecg3p_c)
2odec11eg3p_p	2-octadec-11-enoyl-sn-glycerol 3-phosphate (2odec11eg3p_p)
2odec11eg3p_c	2-octadec-11-enoyl-sn-glycerol 3-phosphate (2odec11eg3p_c)
2agpe140_p	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) (2agpe140_p)
2agpe140_c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) (2agpe140_c)
2agpe141_p	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) (2agpe141_p)
2agpe141_c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) (2agpe141_c)
ttdcea_c	Tetradecenoate (n-C14:1) (ttdcea_c)
amp_c	AMP C10H12N5O7P (amp_c)
pe141_c	Phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1) (pe141_c)
2agpg160_p	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) (2agpg160_p)
2agpg160_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) (2agpg160_c)
2agpg161_p	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) (2agpg161_p)
2agpg161_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) (2agpg161_c)
2agpg180_p	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) (2agpg180_p)
2agpg180_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) (2agpg180_c)
2agpg181_p	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) (2agpg181_p)
2agpg181_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) (2agpg181_c)
2agpg120_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) (2agpg120_c)
ddca_c	Dodecanoate (n-C12:0) (ddca_c)
pg120_c	Phosphatidylglycerol (didodecanoyl, n-C12:0) (pg120_c)
2agpg141_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) (2agpg141_c)
pg141_c	Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1) (pg141_c)
hdca_c	Hexadecanoate (n-C16:0) (hdca_c)
pg160_c	Phosphatidylglycerol (dihexadecanoyl, n-C16:0) (pg160_c)
ocdca_c	Octadecanoate (n-C18:0) (ocdca_c)
pg180_c	Phosphatidylglycerol (dioctadecanoyl, n-C18:0) (pg180_c)
2dhguln_c	2-Dehydro-L-gulonate (2dhguln_c)
nadh_c	Nicotinamide adenine dinucleotide - reduced (nadh_c)
glcn_c	D-Gluconate (glcn_c)
idon__L_c	L-Idonate (idon__L_c)
2mahmp_c	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate (2mahmp_c)
4ampm_c	4-Amino-2-methyl-5-phosphomethylpyrimidine (4ampm_c)
3amp_p	3  AMP C10H12N5O7P (3amp_p)
3hcddec5eACP_c	(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein] (3hcddec5eACP_c)
t3c5ddeceACP_c	Trans-3-cis-5-dodecenoyl-[acyl-carrier protein] (t3c5ddeceACP_c)
3hpalmACP_c	R-3-hydroxypalmitoyl-[acyl-carrier protein] (3hpalmACP_c)
tpalm2eACP_c	Trans-Hexadec-2-enoyl-[acyl-carrier protein] (tpalm2eACP_c)
3hcpalm9eACP_c	(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein] (3hcpalm9eACP_c)
t3c9palmeACP_c	Trans-3-cis-9-palmitoleoyl-[acyl-carrier protein] (t3c9palmeACP_c)
3hoctaACP_c	(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein] (3hoctaACP_c)
toctd2eACP_c	Trans-octadec-2-enoyl-[acyl-carrier protein] (toctd2eACP_c)
3hoctACP_c	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein] (3hoctACP_c)
toct2eACP_c	Trans-Oct-2-enoyl-[acyl-carrier protein] (toct2eACP_c)
3hpp_p	3-Hydroxypropanoate (3hpp_p)
3hpp_c	3-Hydroxypropanoate (3hpp_c)
3dhguln_c	3-Dehydro-L-gulonate (3dhguln_c)
3dhgulnp_c	3-keto-L-gulonate-6-phosphate (3dhgulnp_c)
pi_p	Phosphate (pi_p)
uri_p	Uridine (uri_p)
gsn_p	Guanosine (gsn_p)
3oddecACP_c	3-Oxododecanoyl-[acyl-carrier protein] (3oddecACP_c)
nadph_c	Nicotinamide adenine dinucleotide phosphate - reduced (nadph_c)
3hddecACP_c	(R)-3-Hydroxydodecanoyl-[acyl-carrier protein] (3hddecACP_c)
3ocddec5eACP_c	3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein] (3ocddec5eACP_c)
3ocmrs7eACP_c	3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein] (3ocmrs7eACP_c)
3hcmrs7eACP_c	(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein] (3hcmrs7eACP_c)
3opalmACP_c	3-Oxohexadecanoyl-[acyl-carrier protein] (3opalmACP_c)
3ocpalm9eACP_c	3-oxo-cis-palm-9-eoyl-[acyl-carrier protein] (3ocpalm9eACP_c)
3ooctdACP_c	3-Oxooctadecanoyl-[acyl-carrier protein] (3ooctdACP_c)
malACP_c	Malonyl-[acyl-carrier protein] (malACP_c)
ocACP_c	Octanoyl-ACP (n-C8:0ACP) (ocACP_c)
3odecACP_c	3-Oxodecanoyl-[acyl-carrier protein] (3odecACP_c)
ACP_c	Acyl carrier protein (ACP_c)
co2_c	CO2 CO2 (co2_c)
dcaACP_c	Decanoyl-ACP (n-C10:0ACP) (dcaACP_c)
ddcaACP_c	Dodecanoyl-ACP (n-C12:0ACP) (ddcaACP_c)
3omrsACP_c	3-Oxotetradecanoyl-[acyl-carrier protein] (3omrsACP_c)
tdeACP_c	Cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1) (tdeACP_c)
butACP_c	Butyryl-ACP (n-C4:0ACP) (butACP_c)
3ohexACP_c	3-Oxohexanoyl-[acyl-carrier protein] (3ohexACP_c)
LalaDgluMdap_p	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate (LalaDgluMdap_p)
LalaDgluMdap_c	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate (LalaDgluMdap_c)
phthr_c	O-Phospho-4-hydroxy-L-threonine (phthr_c)
4hthr_c	4-Hydroxy-L-threonine (4hthr_c)
5dglcn_p	5-Dehydro-D-gluconate (5dglcn_p)
5dglcn_c	5-Dehydro-D-gluconate (5dglcn_c)
dad_5_c	5'-Deoxyadenosine (dad_5_c)
5drib_c	5'-deoxyribose (5drib_c)
ade_c	Adenine (ade_c)
5mtr_e	5-Methylthio-D-ribose (5mtr_e)
5mtr_p	5-Methylthio-D-ribose (5mtr_p)
5mtr_c	5-Methylthio-D-ribose (5mtr_c)
ru5p__D_c	D-Ribulose 5-phosphate (ru5p__D_c)
ara5p_c	D-Arabinose 5-phosphate (ara5p_c)
ocdcea_c	Octadecenoate (n-C18:1) (ocdcea_c)
octeACP_c	Cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1) (octeACP_c)
ocdcaACP_c	Octadecanoyl-ACP (n-C18:0ACP) (ocdcaACP_c)
octa_c	Octanoate (n-C8:0) (octa_c)
malthx_p	Maltohexaose (malthx_p)
4abut_c	4-Aminobutanoate (4abut_c)
akg_c	2-Oxoglutarate (akg_c)
sucsal_c	Succinic semialdehyde (sucsal_c)
4abut_p	4-Aminobutanoate (4abut_p)
accoa_c	Acetyl-CoA (accoa_c)
btcoa_c	Butanoyl-CoA (btcoa_c)
3ohcoa_c	3-Oxohexanoyl-CoA (3ohcoa_c)
hxcoa_c	Hexanoyl-CoA (n-C6:0CoA) (hxcoa_c)
3oocoa_c	3-Oxooctanoyl-CoA (3oocoa_c)
occoa_c	Octanoyl-CoA (n-C8:0CoA) (occoa_c)
3odcoa_c	3-Oxodecanoyl-CoA (3odcoa_c)
dcacoa_c	Decanoyl-CoA (n-C10:0CoA) (dcacoa_c)
3oddcoa_c	3-Oxododecanoyl-CoA (3oddcoa_c)
acac_e	Acetoacetate (acac_e)
acac_p	Acetoacetate (acac_p)
acald_e	Acetaldehyde (acald_e)
acald_p	Acetaldehyde (acald_p)
acald_c	Acetaldehyde (acald_c)
adocbip_c	Adenosyl cobinamide phosphate (adocbip_c)
agdpcbi_c	Adenosine-GDP-cobinamide (agdpcbi_c)
ppa_c	Propionate (n-C3:0) (ppa_c)
ppcoa_c	Propanoyl-CoA (ppcoa_c)
acgam1p_p	N-Acetyl-D-glucosamine 1-phosphate (acgam1p_p)
acgam_p	N-Acetyl-D-glucosamine (acgam_p)
pep_c	Phosphoenolpyruvate (pep_c)
acgam6p_c	N-Acetyl-D-glucosamine 6-phosphate (acgam6p_c)
pyr_c	Pyruvate (pyr_c)
acglu_c	N-Acetyl-L-glutamate (acglu_c)
alac__S_c	(S)-2-Acetolactate (alac__S_c)
uacmamu_c	UDP-N-acetyl-D-mannosaminouronate (uacmamu_c)
unaga_c	Undecaprenyl diphospho N-acetyl-glucosamine (unaga_c)
udp_c	UDP C9H11N2O12P2 (udp_c)
unagamu_c	Undecaprenyl-diphospho-N-acetylglucosamine-N-acetylmannosaminuronate (unagamu_c)
acmana_p	N-Acetyl-D-mannosamine (acmana_p)
acmum_e	N-Acetylmuramate (acmum_e)
acmum_p	N-Acetylmuramate (acmum_p)
acnam_p	N-Acetylneuraminate (acnam_p)
acnam_c	N-Acetylneuraminate (acnam_c)
acmana_c	N-Acetyl-D-mannosamine (acmana_c)
b2coa_c	Crotonoyl-CoA (b2coa_c)
fadh2_c	Flavin adenine dinucleotide reduced (fadh2_c)
ddcacoa_c	Dodecanoyl-CoA (n-C12:0CoA) (ddcacoa_c)
dd2coa_c	Trans-Dodec-2-enoyl-CoA (dd2coa_c)
pmtcoa_c	Palmitoyl-CoA (n-C16:0CoA) (pmtcoa_c)
hdd2coa_c	Trans-Hexadec-2-enoyl-CoA (hdd2coa_c)
stcoa_c	Stearoyl-CoA (n-C18:0CoA) (stcoa_c)
od2coa_c	Trans-Octadec-2-enoyl-CoA (od2coa_c)
acACP_c	Acetyl-ACP (acACP_c)
acorn_c	N2-Acetyl-L-ornithine (acorn_c)
ac_c	Acetate (ac_c)
orn_c	Ornithine (orn_c)
acolipa_p	4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A (acolipa_p)
acolipa_e	4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A (acolipa_e)
acon_T_c	Trans-Aconitate (acon_T_c)
acon_C_c	Cis-Aconitate (acon_C_c)
aconm_c	E-3-carboxy-2-pentenedioate 6-methyl ester (aconm_c)
ahcys_c	S-Adenosyl-L-homocysteine (ahcys_c)
acg5sa_c	N-Acetyl-L-glutamate 5-semialdehyde (acg5sa_c)
ttdceap_c	Tetradecanoyl-phosphate (n-C14:1) (ttdceap_c)
hdeACP_c	Cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1) (hdeACP_c)
hdceap_c	Hexadecanoyl-phosphate (n-C16:1) (hdceap_c)
ocdcap_c	Octadecanoyl-phosphate (n-C18:0) (ocdcap_c)
acser_c	O-Acetyl-L-serine (acser_c)
acser_p	O-Acetyl-L-serine (acser_p)
ac_p	Acetate (ac_p)
ac_e	Acetate (ac_e)
4adcho_c	4-amino-4-deoxychorismate (4adcho_c)
4abz_c	4-Aminobenzoate (4abz_c)
chor_c	Chorismate (chor_c)
hxan_c	Hypoxanthine (hxan_c)
ade_p	Adenine (ade_p)
gdp_c	GDP C10H12N5O11P2 (gdp_c)
camp_c	CAMP C10H11N5O6P (camp_c)
adn_c	Adenosine (adn_c)
rib__D_c	D-Ribose (rib__D_c)
adn_p	Adenosine (adn_p)
rdmbzi_c	N1-(alpha-D-ribosyl)-5,6-dimethylbenzimidazole (rdmbzi_c)
adocbl_c	Adenosylcobalamin (adocbl_c)
gmp_c	GMP C10H12N5O8P (gmp_c)
adocbl_p	Adenosylcobalamin (adocbl_p)
adocbl_e	Adenosylcobalamin (adocbl_e)
prpp_c	5-Phospho-alpha-D-ribose 1-diphosphate (prpp_c)
aps_c	Adenosine 5'-phosphosulfate (aps_c)
paps_c	3'-Phosphoadenylyl sulfate (paps_c)
imp_c	IMP C10H11N4O8P (imp_c)
dcamp_c	N6-(1,2-Dicarboxyethyl)-AMP (dcamp_c)
anhgm3p_c	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide (anhgm3p_c)
anhgm_c	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid (anhgm_c)
acgam_c	N-Acetyl-D-glucosamine (acgam_c)
anhm3p_c	1,6-anhydrous-N-Acetylmuramyl-tripeptide (anhm3p_c)
anhgm4p_c	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide (anhgm4p_c)
ala__D_c	D-Alanine (ala__D_c)
anhgm4p_p	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide (anhgm4p_p)
ala__D_p	D-Alanine (ala__D_p)
anhgm3p_p	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide (anhgm3p_p)
agm_c	Agmatine (agm_c)
ptrc_c	Putrescine (ptrc_c)
urea_c	Urea CH4N2O (urea_c)
anhgm_p	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid (anhgm_p)
agm_p	Agmatine (agm_p)
1hdec9eg3p_c	1-hexadec-9-enoyl-sn-glycerol 3-phosphate (1hdec9eg3p_c)
pa161_c	1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate (pa161_c)
